"design","lambda","P_joint"
"PED","0.49658530379141","0.066379817262192"
"PED","0.522045776761016","0.0799326162130447"
"PED","0.548811636094027","0.0951533458557707"
"PED","0.576949810380487","0.111908444281751"
"PED","0.606530659712633","0.130161373253537"
"PED","0.637628151621773","0.149716421626826"
"PED","0.67032004603564","0.170356498511601"
"PED","0.704688089718714","0.191838790620577"
"PED","0.740818220681718","0.213902867590578"
"PED","0.778800783071405","0.236234140115055"
"PED","0.818730753077982","0.258613270329231"
"PED","0.860707976425058","0.280768219188041"
"PED","0.90483741803596","0.302468014838935"
"PED","0.951229424500714","0.32349502378661"
"PED","1","0.343727655815518"
"PED","1.05127109637602","0.363010234256873"
"PED","1.10517091807565","0.381280833081135"
"PED","1.16183424272828","0.398398660546081"
"PED","1.22140275816017","0.414315301620348"
"PED","1.28402541668774","0.4289107870787"
"PED","1.349858807576","0.441962149930791"
"PED","1.41906754859326","0.453139784985213"
"PED","1.49182469764127","0.461874881644682"
"PED","1.56831218549017","0.467333615968566"
"PED","1.64872127070013","0.46851400665129"
"PED","1.7332530178674","0.464305979024613"
"PED","1.82211880039051","0.453693118158704"
"PED","1.9155408290139","0.435844055227508"
"PED","2.01375270747048","0.410413841565727"
"PED","2.11700001661267","0.377954689353799"
"PED","2.22554092849247","0.340053741342978"
"PED","2.33964685192599","0.298636078439057"
"PED","2.45960311115695","0.2552573395616"
"PED","2.58570965931585","0.211310807392424"
"PED","2.71828182845905","0.168601511493807"
"PED","2.85765111806317","0.129114039085322"
"PED","3.00416602394643","0.0943248427158651"
"PED","3.15819290968977","0.0648186850465332"
"PED","3.32011692273655","0.0406930013572415"
"PED","3.49034295746184","0.0225403107485474"
"PED","3.66929666761925","0.0108837148726713"
"PED","3.85742553069698","0.0046991686265676"
"PED","4.05519996684468","0.00195190627491177"
"PED","4.26311451516882","0.000780223653368984"
"PED","4.48168907033806","0.000221921640014419"
"PED","4.71147018259074","2.90414295867188e-05"
"PED","4.95303242439512","1.15913643927719e-06"
"PED","5.20697982717985","9.02720304569397e-09"
"PED","5.4739473917272","7.77995439514608e-12"
"PED","5.75460267600573","3.7932279974388e-16"
"PED","6.04964746441295","5.1816569132906e-22"
"PED","6.35981952260184","9.83673709489734e-30"
"PED","6.68589444227927","1.25614862929853e-39"
"PED","7.02868758058929","4.99075844970434e-52"
"PED","7.38905609893065","2.66522244837392e-67"
"Var(s+)_80","0.0111089965382423","7.25269467585098e-14"
"Var(s+)_80","0.0116785669703954","1.0834948480842e-13"
"Var(s+)_80","0.0122773399030684","1.61514720228056e-13"
"Var(s+)_80","0.0129068125804799","2.406558999319e-13"
"Var(s+)_80","0.0135685590122009","3.59352753081132e-13"
"Var(s+)_80","0.0142642339089993","5.35520140058406e-13"
"Var(s+)_80","0.0149955768204777","7.97520905953376e-13"
"Var(s+)_80","0.0157644164848545","1.18993786498764e-12"
"Var(s+)_80","0.0165726754017613","1.77671380956387e-12"
"Var(s+)_80","0.0174223746394935","2.64788565961383e-12"
"Var(s+)_80","0.0183156388887342","3.95386742598356e-12"
"Var(s+)_80","0.0192547017753869","5.8863103017829e-12"
"Var(s+)_80","0.0202419114458044","8.76017411400781e-12"
"Var(s+)_80","0.0212797364383772","1.30722061948556e-11"
"Var(s+)_80","0.0223707718561656","1.95138947534637e-11"
"Var(s+)_80","0.0235177458560091","2.90374650919808e-11"
"Var(s+)_80","0.0247235264703394","4.33905323817901e-11"
"Var(s+)_80","0.0259911287787553","6.45295117947383e-11"
"Var(s+)_80","0.0273237224472926","9.61144483290169e-11"
"Var(s+)_80","0.0287246396542394","1.42975779478181e-10"
