"lambda","design","ME","two_FI","perfect_prob","perfect_me","perfect_2FI"
1.10517091807565,"BayesD",2,1,0,0.0645333333333332,0
1.22140275816017,"BayesD",2,1,0,0.0527999999999999,0
1.349858807576,"BayesD",2,1,0,0.0466666666666666,0
1.49182469764127,"BayesD",2,1,0,0.0421333333333333,0
1.64872127070013,"BayesD",2,1,0,0.0341333333333333,0
1.82211880039051,"BayesD",2,1,0,0.0282666666666667,0
2.01375270747048,"BayesD",2,1,0,0.0245333333333333,0
2.22554092849247,"BayesD",2,1,0,0.02,0
2.45960311115695,"BayesD",2,1,0,0.0157333333333333,0
2.71828182845905,"BayesD",2,1,0,0.0136,0
3.00416602394643,"BayesD",2,1,0,0.0109333333333333,0
3.32011692273655,"BayesD",2,1,0,0.00986666666666667,0
3.66929666761925,"BayesD",2,1,0,0.00933333333333334,0
4.05519996684468,"BayesD",2,1,0,0.0088,0
4.48168907033806,"BayesD",2,1,0,0.008,0
0.0111089965382423,"MEPI",2,1,0,0,0
0.0122773399030684,"MEPI",2,1,0,0,0
0.0135685590122009,"MEPI",2,1,0,0,0.000266666666666667
0.0149955768204777,"MEPI",2,1,0,0,0.00373333333333333
0.0165726754017613,"MEPI",2,1,0,0,0.0144
0.0183156388887342,"MEPI",2,1,0,0,0.0338666666666667
0.0202419114458044,"MEPI",2,1,0,0,0.0501333333333333
0.0223707718561656,"MEPI",2,1,0,0,0.0490666666666667
0.0247235264703394,"MEPI",2,1,0,0,0.0392
0.0273237224472926,"MEPI",2,1,0.000266666666666667,0.00186666666666667,0.0258666666666667
0.0301973834223185,"MEPI",2,1,0.000533333333333333,0.00933333333333333,0.0189333333333333
0.0333732699603261,"MEPI",2,1,0.00186666666666667,0.0376,0.0138666666666667
0.03688316740124,"MEPI",2,1,0.00266666666666667,0.0861333333333333,0.0112
0.0407622039783662,"MEPI",2,1,0.00453333333333333,0.165333333333333,0.0106666666666667
0.0450492023935578,"MEPI",2,1,0.00666666666666667,0.24,0.0112
0.0497870683678639,"MEPI",2,1,0.0072,0.3296,0.0101333333333333
